id,date,month,year,region,channel,product_category,customer_segment,ad_spend,price,discount_rate,market_reach,impressions,click_through_rate,competition_index,seasonality_index,campaign_duration_days,customer_lifetime_value,sales_revenue
1,12/5/2011,12,2011,North,Search,General,Standard,9.00,0.75,0.28,32,817,0.00,3.34,1.00,30,816.49,119.77
2,4/27/2011,4,2011,North,Social Media,General,Premium,3.35,3.35,0.09,61,2289,0.06,4.44,0.37,90,1723.16,119.40
3,11/9/2010,11,2010,North,Affiliate,General,Budget,2.55,2.55,0.20,461,14697,0.15,3.31,0.37,21,1151.74,132.01
4,10/3/2010,10,2010,North,Affiliate,Storage,Premium,2.95,2.95,0.48,744,17578,0.20,2.87,-0.37,90,3585.85,154.51
5,10/14/2011,10,2011,North,Search,Lighting,Premium,15.00,1.25,0.35,226,6280,0.02,7.4,-0.37,90,502.28,128.06
6,10/28/2011,10,2011,North,Email,General,Premium,79.20,1.65,0.04,521,11484,0.02,3.83,-0.37,30,32267.58,160.22
7,6/28/2011,6,2011,North,Affiliate,Stationery,Premium,10.08,0.42,0.06,125,4495,0.16,3.3,-1.00,30,20.16,181.46
8,11/6/2011,11,2011,North,Social Media,Storage,Premium,11.25,3.75,0.23,217,3438,0.14,7,0.37,60,987.36,144.65
9,4/28/2010,4,2010,North,Search,Storage,Premium,17.00,8.5,0.00,168,3767,0.03,2.92,0.37,7,1517.25,93.58
10,12/20/2009,12,2009,North,Affiliate,Kitchen,Premium,0.00,0.85,0.13,266,8803,0.07,0.97,1.00,21,319.26,204.29
11,4/20/2010,4,2010,North,Social Media,General,Premium,6.50,0.65,0.08,0,3461,0.05,2.42,0.37,28,0,240.79
12,11/20/2011,11,2011,North,Social Media,General,Premium,0.85,0.85,0.15,243,5279,0.06,2.79,0.37,7,65709.14,189.73
13,3/3/2011,3,2011,North,Email,Storage,Premium,16.50,1.65,0.16,845,10960,0.04,6.13,1.00,14,48.95,140.95
14,5/4/2011,5,2011,North,Search,Storage,Premium,0.85,0.85,0.19,356,6950,0.21,3.92,-0.37,30,6987.43,243.80
15,12/10/2010,12,2010,North,Affiliate,General,Premium,20.16,0.42,0.22,136,2756,0.12,5.79,1.00,60,13951.97,230.59
16,7/5/2010,7,2010,North,Email,Stationery,Standard,39.00,1.95,0.31,658,11825,0.01,2.89,-1.37,0,97.4,87.71
17,1/7/2011,1,2011,North,Social Media,General,Premium,11.25,3.75,0.32,289,6374,0.04,5.21,1.37,30,1387.83,114.02
18,7/1/2011,7,2011,North,Email,General,Premium,0.78,0.39,0.35,89,3123,0.05,3.45,-1.37,14,34671.78,159.94
19,6/7/2010,6,2010,North,Search,Storage,Premium,16.50,1.65,0.31,845,13993,0.13,3.41,-1.00,28,1603.37,157.03
20,7/31/2011,7,2011,North,Search,Seasonal,Standard,13.50,6.75,0.59,227,8793,0.06,6.01,-1.37,90,838.8,40.58
21,4/17/2011,4,2011,North,TV,Stationery,Premium,5.04,0.42,0.04,148,3832,0.03,2,0.37,14,21407.11,190.60
22,11/18/2010,11,2010,North,Affiliate,General,Premium,1.65,1.65,0.39,200,1940,0.04,4.56,0.37,90,26272.27,123.64
23,10/3/2011,10,2011,North,Search,General,Premium,1.05,0.21,0.17,209,6704,0.04,4.16,-0.37,28,1247.47,330.93
24,4/19/2011,4,2011,North,Email,General,Premium,17.40,1.45,0.25,225,3475,0.03,1.29,0.37,30,9159.85,161.00
25,11/15/2010,11,2010,North,Search,Stationery,Premium,19.50,1.95,0.18,658,20771,0.04,4.53,0.37,90,8065.04,175.28
26,11/15/2010,11,2010,North,Search,Storage,Premium,0.55,0.55,0.32,614,18253,0.08,6,0.37,14,2361.95,235.80
27,11/7/2011,11,2011,North,Email,Seasonal,Standard,15.00,1.25,0.15,158,6755,0.11,4.81,0.37,21,513.331,145.33
28,6/8/2010,6,2010,North,Search,General,Premium,79.20,1.65,0.30,35,454,0.06,4.53,-1.00,60,36223.41,82.89
29,12/9/2010,12,2010,North,Affiliate,Storage,Premium,1.95,1.95,0.13,450,12383,0.00,5.49,1.00,14,1899.54,117.10
30,10/30/2011,10,2011,North,Influencer,General,Premium,3.30,1.65,0.10,405,19542,0.16,4.22,-0.37,14,334.39,174.15
31,7/13/2010,7,2010,North,Email,General,Premium,17.00,4.25,0.60,335,8065,0.11,1.25,-1.37,0,7998.73,90.87
32,7/30/2010,7,2010,North,Affiliate,General,Premium,11.90,5.95,0.53,66,1107,0.10,5.34,-1.37,7,127.35,16.88
33,2/15/2011,2,2011,North,Search,General,Premium,2.55,0.85,0.13,99,2444,0.09,4.49,1.37,60,1358.52,166.31
34,11/17/2011,11,2011,Central,Social Media,Stationery,Premium,24.75,4.95,0.23,254,4183,0.01,3.59,0.37,30,994,107.67
35,10/28/2011,10,2011,North,Social Media,Stationery,Premium,1.26,0.42,0.29,89,1514,0.00,2.34,-0.37,60,1478.41,210.83
36,6/24/2011,6,2011,North,Social Media,Storage,Premium,13.20,0.55,0.50,178,2525,0.00,2.49,-1.00,7,8784.96,160.57
37,11/15/2010,11,2010,North,Affiliate,Kitchen,Premium,15.30,252.29,0.10,98,4243,0.12,6.81,0.37,21,1433.07,79.09
38,10/21/2011,10,2011,North,Influencer,General,Premium,16.60,4.15,0.11,115,1640,0.03,4.2,-0.37,28,5252.34,110.00
39,5/6/2010,5,2010,North,Social Media,Stationery,Premium,7.80,1.95,0.17,658,14919,0.02,2.28,-0.37,60,100609.5,168.11
